house_num,house_group,year,week,location,period,mean,std,median,min,max,q25,q75,iqr,n_points,hours,pct_below_12,pct_12_to_18,pct_18_to_24,pct_above_24,pct_above_28,minutes_below_12,minutes_in_who,minutes_above_24,range,cv,extreme_cold_events,extreme_hot_events
22,active,2008,1,bedroom,overall,16.423569537772348,1.6622376139207546,16.8,12.7,19.845,15.1,17.5,2.4000000000000004,4911,163.7,0.0,82.20321726735898,17.79678273264101,0.0,0.0,0,1748,0,7.145,10.121049569022109,0,0
22,active,2008,1,bedroom,day,16.400782182438192,1.6776617001808882,16.8,12.7,19.845,15.1,17.3,2.200000000000001,2346,78.2,0.0,85.5072463768116,14.492753623188406,0.0,0.0,0,680,0,7.145,10.229156643378346,0,0
22,active,2008,1,bedroom,night,16.44497464898596,1.6481299744087985,16.8,13.0,19.3,15.2,17.7,2.5,2564,85.46666666666667,0.0,79.17316692667707,20.826833073322934,0.0,0.0,0,1068,0,6.300000000000001,10.022088872666195,0,0
23,control,2008,1,bedroom,overall,16.77020145379024,2.673343241126236,16.8,10.8,23.8,14.8,18.5,3.6999999999999993,4815,160.5,3.2191069574247146,65.067497403946,31.713395638629283,0.0,0.0,310,3054,0,13.0,15.941032363222044,2,0
23,control,2008,1,bedroom,day,17.7045320855615,3.0356867770020375,18.2,10.8,23.8,15.6,19.8,4.200000000000001,2244,74.8,3.4759358288770055,43.805704099821746,52.71836007130125,0.0,0.0,156,2366,0,13.0,17.14638241966145,1,0
23,control,2008,1,bedroom,night,15.963677979479087,1.9894591274790479,16.3,11.5,21.2,14.5,17.3,2.8000000000000007,2534,84.46666666666667,3.0386740331491713,83.38595106550908,13.575374901341753,0.0,0.0,154,688,0,9.7,12.462410793029328,2,0
24,active,2008,1,bedroom,overall,18.644094110115233,1.4891748827016469,18.8,15.6,22.1,17.39,19.6,2.210000000000001,4686,156.2,0.0,35.57405036278276,64.42594963721724,0.0,0.0,0,6038,0,6.500000000000002,7.987381279596227,0,0
24,active,2008,1,bedroom,day,18.591212331942515,1.5565997734513217,18.8,15.6,22.1,17.3,19.6,2.3000000000000007,2157,71.9,0.0,36.25405656003709,63.745943439962915,0.0,0.0,0,2750,0,6.500000000000002,8.37277174644952,0,0
24,active,2008,1,bedroom,night,18.689197311190192,1.4279202077414241,18.8,15.8,21.7,17.5,19.7,2.1999999999999993,2529,84.3,0.0,34.99406880189798,65.00593119810202,0.0,0.0,0,3288,0,5.899999999999999,7.640350647303906,0,0
25,control,2008,1,bedroom,overall,17.26929692214846,2.1061412606010594,17.39,11.9,23.3,15.7,18.7,3.0,4971,165.7,0.020116676725005028,60.69201367934017,39.28786964393482,0.0,0.0,2,3906,0,11.4,12.19587149433896,0,0
25,control,2008,1,bedroom,day,18.024923363711682,2.2793603337812134,18.5,11.9,22.7,16.625,19.3,2.6750000000000007,2414,80.46666666666667,0.041425020712510356,35.08699254349627,64.87158243579123,0.0,0.0,2,3132,0,10.799999999999999,12.645603466864607,0,0
25,control,2008,1,bedroom,night,16.475043581616482,1.4830416590599678,16.7,13.1,20.39,15.3,17.6,2.3000000000000007,2524,84.13333333333334,0.0,85.97464342313788,14.025356576862125,0.0,0.0,0,708,0,7.290000000000001,9.001746500475456,0,0
26,active,2008,1,bedroom,overall,17.620932203389827,2.2414134738450837,17.5,13.7,25.1,16.0,19.2,3.1999999999999993,4720,157.33333333333334,0.0,58.49576271186441,41.12288135593221,0.38135593220338987,0.0,0,3882,36,11.400000000000002,12.720175345853107,0,0
26,active,2008,1,bedroom,day,17.566185286103543,1.6901356845655695,17.5,15.3,20.8,15.9,18.8,2.9000000000000004,367,12.233333333333333,0.0,56.403269754768395,43.596730245231605,0.0,0.0,0,320,0,5.5,9.621529415966148,0,0
26,active,2008,1,bedroom,night,17.04472222222222,0.833148493892458,16.7,15.6,18.6,16.39,17.89,1.5,360,12.0,0.0,75.83333333333333,24.166666666666668,0.0,0.0,0,174,0,3.0000000000000018,4.888014501088394,0,0
27,active,2008,1,bedroom,overall,17.610854575846215,2.5209806999678115,17.3,12.5,23.9,15.7,19.39,3.6900000000000013,4786,159.53333333333333,0.0,59.54868366067697,40.45131633932302,0.0,0.0,0,3872,0,11.399999999999999,14.314925429146452,0,0
27,active,2008,1,bedroom,day,17.926462063086102,2.856277897280296,17.8,12.5,23.9,15.5,20.0,4.5,2346,78.2,0.0,51.19352088661552,48.80647911338448,0.0,0.0,0,2290,0,11.399999999999999,15.93330511747714,0,0
27,active,2008,1,bedroom,night,17.308036960985625,2.1084093244642714,17.1,13.0,23.6,15.9,18.6,2.700000000000001,2435,81.16666666666667,0.0,67.51540041067761,32.484599589322386,0.0,0.0,0,1582,0,10.600000000000001,12.181677963924372,0,0
28,control,2008,1,bedroom,overall,19.161575167256984,1.5693968799432025,19.0,15.7,23.4,17.89,20.3,2.41,5082,169.4,0.0,27.134986225895318,72.86501377410468,0.0,0.0,0,7406,0,7.699999999999999,8.190333342871336,0,0
28,control,2008,1,bedroom,day,19.39633194391815,1.6665685343735144,19.2,15.7,23.4,18.39,20.5,2.1099999999999994,2639,87.96666666666667,0.0,19.552860932171274,80.44713906782872,0.0,0.0,0,4246,0,7.699999999999999,8.592184023206913,0,0
28,control,2008,1,bedroom,night,18.884744329896908,1.3934932467831531,18.7,16.2,21.6,17.7,20.3,2.6000000000000014,2425,80.83333333333333,0.0,35.58762886597938,64.41237113402062,0.0,0.0,0,3124,0,5.400000000000002,7.378936259026178,0,0
29,active,2008,1,bedroom,overall,21.026844245204337,2.5995717046230484,20.7,15.9,27.3,19.0,23.3,4.300000000000001,4796,159.86666666666667,0.0,12.48957464553795,71.99749791492911,15.512927439532945,0.0,0,6906,1488,11.4,12.36310914899149,0,0
29,active,2008,1,bedroom,day,20.875861994840932,2.8569004556747437,20.3,15.9,27.3,18.6,23.5,4.899999999999999,2326,77.53333333333333,0.0,16.63800515907137,63.67153912295787,19.690455717970764,0.0,0,2962,916,11.4,13.68518558122664,0,0
