house_num,week,year,hours_above_18,pct_time_above_18,max_temp,mean_temp,median_temp,min_temp,std_temp,total_hours_monitored,daytime_hours_above_18,daytime_pct_above_18,daytime_mean_temp,daytime_max_temp,longest_period_above_18_hours,num_periods_above_18,avg_period_above_18_hours,approx_date
23,1,2008,46.0,28.876333961079727,28.4,14.596944967566435,14.1,4.5,5.851501622871774,159.3,45.03333333333333,60.20499108734403,18.462945632798572,28.4,8.866666666666667,8,5.716666666666667,2008-08-15
24,1,2008,58.5,36.83105981112277,41.1,17.198530954879327,14.7,5.2,8.417388028668073,158.83333333333334,52.63333333333333,73.2035234121465,23.355586462679646,41.1,10.066666666666666,9,,2008-08-15
25,1,2008,56.6,34.37942903421745,36.3,15.804545454545453,13.5,1.4,8.26539949231903,164.63333333333333,56.46666666666667,70.17398508699254,21.645028997514498,36.3,9.633333333333333,8,,2008-08-15
26,1,2008,8.5,35.075653370013754,25.8,17.128335625859698,15.6,11.7,4.6376166289801235,24.233333333333334,8.5,69.48228882833789,19.97057220708447,25.8,,1,,2008-08-15
27,1,2008,59.0,37.0215436101234,36.5,16.747029910060657,13.8,4.6,7.940166846163946,159.36666666666667,52.53333333333333,67.17817561807333,21.693286445012788,36.5,10.933333333333334,8,7.341666666666667,2008-08-15
28,1,2008,64.96666666666667,38.48736176935229,34.1,17.00086887835703,15.4,6.0,6.949610986615327,168.8,59.233333333333334,67.33611216369837,20.984994316028803,34.1,10.966666666666667,13,,2008-08-15
29,1,2008,68.3,42.910994764397905,46.1,20.154,15.6,6.0,10.943034827116387,159.16666666666666,58.666666666666664,75.6989247311828,27.51767741935484,46.1,12.266666666666667,8,8.504166666666666,2008-08-15
30,1,2008,63.233333333333334,39.76939203354298,41.8,18.824706498951784,15.4,7.3,8.870017963363535,159.0,56.766666666666666,72.16101694915254,24.55468220338983,41.8,11.466666666666667,8,7.870833333333334,2008-08-15
1,2,2008,12.533333333333333,7.6672104404567705,20.5,11.88471655791191,11.8,1.2,3.8642383148071233,163.46666666666667,12.533333333333333,19.67556253270539,14.502380952380951,20.5,4.933333333333334,5,2.4733333333333336,2008-08-22
2,2,2008,9.933333333333334,7.139434595112602,21.2,13.67794681360805,14.0,5.3,3.105787695070578,139.13333333333333,9.6,17.955112219451372,14.805673316708228,21.2,4.633333333333334,6,1.6222222222222222,2008-08-22
