house_num,week,year,house_group,recording_status,dehumidifier_usage,living_overall_rh_mean,living_overall_rh_std,living_overall_rh_median,living_overall_rh_min,living_overall_rh_max,living_overall_rh_q25,living_overall_rh_q75,living_overall_rh_n,living_overall_rh_ci_lower,living_overall_rh_ci_upper,living_overall_rh_is_normal,living_pct_comfort_rh,living_pct_above_60,living_pct_above_70,living_overall_hr_mean,living_overall_hr_std,living_day_rh_mean,living_day_rh_std,living_day_rh_median,living_day_rh_min,living_day_rh_max,living_day_rh_n,living_day_rh_hours,living_day_rh_is_normal,living_day_pct_comfort,living_day_hr_mean,living_night_rh_mean,living_night_rh_std,living_night_rh_median,living_night_rh_min,living_night_rh_max,living_night_rh_n,living_night_rh_hours,living_night_rh_is_normal,living_night_pct_above_60,living_night_pct_above_70,living_night_hr_mean,bedroom_overall_rh_mean,bedroom_overall_rh_std,bedroom_overall_rh_median,bedroom_overall_rh_min,bedroom_overall_rh_max,bedroom_overall_rh_q25,bedroom_overall_rh_q75,bedroom_overall_rh_n,bedroom_overall_rh_ci_lower,bedroom_overall_rh_ci_upper,bedroom_overall_rh_is_normal,bedroom_pct_comfort_rh,bedroom_pct_above_60,bedroom_pct_above_70,bedroom_overall_hr_mean,bedroom_overall_hr_std,bedroom_day_rh_mean,bedroom_day_rh_std,bedroom_day_rh_median,bedroom_day_rh_min,bedroom_day_rh_max,bedroom_day_rh_n,bedroom_day_rh_hours,bedroom_day_rh_is_normal,bedroom_day_pct_comfort,bedroom_day_hr_mean,bedroom_night_rh_mean,bedroom_night_rh_std,bedroom_night_rh_median,bedroom_night_rh_min,bedroom_night_rh_max,bedroom_night_rh_n,bedroom_night_rh_hours,bedroom_night_rh_is_normal,bedroom_night_pct_above_60,bedroom_night_pct_above_70,bedroom_night_hr_mean
29,2,2008,active,active,N/A,53.08963262165801,5.762839374849266,53.0,38.0,73.0,49.0,58.0,5199,52.93675947297557,53.24064243123678,False,92.97941911906136,7.020580880938641,0.1154068090017311,8.004235450419497,1.2868837462009919,53.955107811947684,6.086897221379226,55.0,38.0,73.0,2829.0,94.3,False,87.91092258748674,8.37156443874617,52.05654008438819,5.165084897276221,52.0,38.0,67.0,2370.0,79.0,False,0.9704641350210972,0.0,7.5657655314422225,52.16156953260242,5.56133005633553,52.0,39.0,67.0,48.0,56.0,5199,52.008136180034626,52.30207972687055,False,93.84497018657434,6.155029813425659,0.0,7.960209965923171,1.2193470421258708,53.750441852244606,5.502002719715134,54.0,39.0,67.0,2829.0,94.3,False,89.32484977023684,8.368874058051931,50.26497890295359,5.0111565379253395,50.0,39.0,65.0,2370.0,79.0,False,0.7594936708860759,0.0,7.472399536964409
30,2,2008,control,control,low,67.24823555359507,5.894225392818229,68.5,51.6,86.1,62.824999999999996,72.0,4534,67.0766751213057,67.42059494927217,False,13.784737538597266,86.21526246140273,42.67754741949713,8.355984533971057,1.0491402088779898,66.56227858293076,6.216507052099605,67.0,51.6,86.1,2484.0,82.8,False,15.982286634460547,8.388872005903423,68.08982800982801,5.381588456628848,69.7,54.2,77.8,2035.0,67.83333333333333,False,88.7960687960688,46.879606879606875,8.304125969978262,61.8377871024735,4.304899952625296,62.0,44.0,71.0,60.0,65.0,4528,61.71008999558304,61.96603356890459,False,29.748233215547703,70.2517667844523,0.26501766784452296,8.193286418732693,0.9216567127776212,61.82830112721417,4.641346185571608,63.0,44.0,71.0,2484.0,82.8,False,29.025764895330113,8.20359764215403,61.83832923832924,3.8603836094740798,62.0,47.0,70.0,2035.0,67.83333333333333,False,69.23832923832924,0.0,8.172611024592843
1,1,2009,active,active,N/A,54.11904761904762,6.312435649747566,54.0,42.0,71.0,49.0,58.0,5124,53.955203454332555,54.29206918423107,False,84.15300546448088,15.846994535519126,0.039032006245121,6.750032590807544,1.2490726062567006,56.013930348258704,7.287579523150761,57.0,43.0,71.0,2010.0,67.0,False,70.1492537313433,6.624360827621727,52.9146262886598,5.238875726160374,53.0,42.0,66.0,3104.0,103.46666666666667,False,6.829896907216495,0.0,6.831960975578249,58.04283735654927,4.52393147701957,58.0,47.0,73.0,55.0,61.0,5054,57.90709833795014,58.173093094578554,False,70.41946972694895,29.580530273051046,0.41551246537396125,6.609957565689138,1.1082692881553207,58.83281972265023,5.362900843499335,58.0,47.0,73.0,1947.0,64.9,False,63.48228043143297,6.403927278057551,57.57587548638132,3.82546756881738,57.0,50.0,67.0,3084.0,102.8,False,25.421530479896237,0.0,6.74223099097584
2,1,2009,active,active,N/A,52.09300058490934,4.682273112266581,53.0,37.0,60.0,49.0,56.0,5129,51.97016962370832,52.22131507116397,False,100.0,0.0,0.0,6.210146162696615,0.8331209075630754,48.95054945054945,4.859037669566379,50.0,37.0,57.0,2002.0,66.73333333333333,False,100.0,6.492080543038036,54.1178731582319,3.2231252820381906,55.0,43.0,60.0,3122.0,104.06666666666666,False,0.0,0.0,6.029792577129878,53.67029548989114,5.894873004306017,54.0,35.0,67.0,51.0,57.0,5144,53.501744751166406,53.837524300155515,False,89.38569206842924,10.614307931570762,0.0,6.388304678189601,0.7865004821447095,49.81109445277362,5.657145645250281,51.0,35.0,60.0,2001.0,66.7,False,100.0,6.592742677203496,56.185137732222934,4.540923971275512,56.0,43.0,67.0,3122.0,104.06666666666666,False,17.48878923766816,0.0,6.256721470741987
3,1,2009,active,active,N/A,43.506913339824735,4.033640787286851,44.0,28.0,56.0,41.0,47.0,5135,43.40060856864654,43.613449367088606,False,99.92210321324245,0.0,0.0,6.144370971329223,0.6056091070042859,44.92437810945274,3.909663429214157,46.0,33.0,54.0,2010.0,67.0,False,100.0,5.9941753122169725,42.559807073954985,3.8168244925458015,42.0,28.0,54.0,3110.0,103.66666666666667,False,0.0,0.0,6.235650895131695,44.63076171875,3.5512106245121196,45.0,34.0,55.0,42.0,47.0,5120,44.527822265625,44.727001953125004,False,100.0,0.0,0.0,5.94854170733336,0.52313702455365,44.43731343283582,3.7046646696903385,44.0,34.0,53.0,2010.0,67.0,False,100.0,5.6754924805082965,44.755787781350485,3.44322937143629,45.0,38.0,55.0,3110.0,103.66666666666667,False,0.0,0.0,6.125014037210652
4,1,2009,active,active,N/A,50.32121561838815,3.351263592134365,50.0,38.0,61.0,49.0,52.0,5199,50.22003029428736,50.40761684939411,False,99.96153106366609,0.03846893633391037,0.0,5.85894796017335,1.2085614023056346,49.44907856450048,4.121937691133135,50.0,38.0,60.0,2062.0,68.73333333333333,False,100.0,6.243564839907849,50.894485176920625,2.5730447917783477,51.0,45.0,61.0,3137.0,104.56666666666666,False,0.0637551801083838,0.0,5.606133167054913,53.36930178880554,4.543904088366461,53.0,40.0,68.0,50.0,56.0,5199,53.24389305635699,53.49558328524716,False,93.78726678207347,6.212733217926524,0.0,5.907762794398811,1.0389649208151284,54.7623666343356,6.0541611615985795,55.0,40.0,68.0,2062.0,68.73333333333333,False,84.33559650824442,6.330966105272396,52.453618106471154,2.8319199963258885,52.0,44.0,59.0,3137.0,104.56666666666666,False,0.0,0.0,5.629584526301479
5,1,2009,control,control,moderate,66.68200566114031,3.6534816145361377,67.0,51.6,74.8,64.3,69.7,4946,66.58782779013343,66.78338505863324,False,3.962798220784472,96.03720177921554,22.19975737970077,7.035505975771677,0.6650787742568679,66.93625592417062,4.630953507614207,67.9,51.6,74.8,1899.0,63.3,False,9.215376513954714,7.080585834890143,66.52354775188711,2.870723171293077,66.3,58.2,73.6,3047.0,101.56666666666666,False,99.31079750574335,14.670167377748605,7.007410586055246,74.34815858321593,3.3073317291243574,75.0,60.0,84.0,73.0,77.0,4969,74.25799708190782,74.43459448581203,False,0.1006238679814852,99.89937613201852,89.91748842825518,7.120827207497791,0.6630851663947649,73.44607329842933,4.321419937041156,74.0,60.0,84.0,1910.0,63.666666666666664,False,0.2617801047120419,7.153812772200813,74.91140895717555,2.2993367704283503,75.0,66.0,83.0,3059.0,101.96666666666667,False,100.0,95.88100686498856,7.100231447908784
6,1,2009,active,active,N/A,72.40629968203497,7.2632249416760395,74.0,48.0,86.0,69.0,78.0,5032,72.20878378378379,72.59538453895071,False,9.081875993640699,90.9181240063593,69.71383147853736,7.2139573090063775,0.9536232558029829,,,,,,,,,,,,,77.0,77.0,77.0,1.0,0.03333333333333333,False,100.0,100.0,7.749386047909218,67.70459496930086,6.686073312970539,70.0,49.0,85.0,63.0,72.0,5049,67.52799316696375,67.89783620518915,False,15.62685680332739,84.3731431966726,41.84987126163597,7.03936755610914,0.8955294261004714,,,,,,,,,,,,,72.0,72.0,72.0,1.0,0.03333333333333333,False,100.0,100.0,7.052674813861924
7,1,2009,control,control,low,72.64271614686143,3.6837954221032714,73.0,61.0,85.0,70.25,75.0,5066,72.54410777733912,72.74302210817213,False,0.0,100.0,74.99013028030004,7.5847920420802675,0.634677995073848,68.82754491017964,4.630944098764564,68.0,61.0,79.0,835.0,27.833333333333332,False,0.0,7.342511366528367,71.36967632027257,2.2220921646848324,72.0,64.0,76.0,1761.0,58.7,False,100.0,65.98523566155593,7.320725488867153,77.39561524787675,4.949220266291611,78.0,62.0,90.0,74.0,81.0,5063,77.25536243333991,77.53159687932056,False,0.0,100.0,91.8230298242149,7.956275936986821,0.6806748354900094,71.55568862275449,3.924674523926194,71.0,62.0,82.0,835.0,27.833333333333332,False,0.0,7.414943835803306,75.47359454855196,2.985858920366785,76.0,68.0,82.0,1761.0,58.7,False,100.0,95.1731970471323,7.811784610531367
8,1,2009,active,active,N/A,62.800394866732475,5.6945554637177365,61.0,53.0,78.0,59.0,67.0,5065,62.64476307996051,62.961905231984204,False,38.084896347482726,61.91510365251728,15.064165844027642,7.3961485747580085,0.8187682514961567,67.90545454545455,4.936961909271014,69.0,53.0,78.0,1925.0,64.16666666666667,False,8.311688311688311,7.518195139930064,59.57842190016103,3.3051016030882807,60.0,53.0,75.0,3105.0,103.5,False,43.027375201288244,1.1916264090177133,7.30973846552009,56.71152328334649,10.5358152886793,55.0,34.0,82.0,48.0,65.0,5068,56.411316101026046,57.00336917916338,False,63.65430149960537,36.34569850039463,13.535911602209943,7.6412215765599845,0.8901367065293605,66.39324675324676,8.442520346208813,68.0,34.0,82.0,1925.0,64.16666666666667,False,21.246753246753247,7.702020220959998,50.76843800322061,6.575456819522957,50.0,35.0,72.0,3105.0,103.5,False,10.499194847020934,0.0966183574879227,7.594115412734426
9,1,2009,active,active,N/A,64.78540604158493,5.348319284597804,65.0,46.0,82.0,61.0,68.0,5098,64.63641133777952,64.93106610435466,False,19.007453903491562,80.99254609650843,13.985876814437034,7.241459045120619,1.1416402429520913,61.687943262411345,3.9483042925799143,62.0,53.0,69.0,282.0,9.4,False,33.687943262411345,8.799901325679865,62.425,2.6829105652726146,61.0,55.0,69.0,880.0,29.333333333333332,False,82.04545454545455,0.0,6.837964348961278,67.35721276179291,5.9956520840869185,68.0,43.0,82.0,64.0,71.0,5109,67.20413486005089,67.52390144842435,False,13.094539048737522,86.90546095126248,29.888432178508513,7.244450352358574,1.2231732674993334,63.315602836879435,5.491796323562419,64.0,52.0,72.0,282.0,9.4,False,25.886524822695034,9.200264840142838,66.71306818181819,3.1705053763073012,66.0,63.0,73.0,880.0,29.333333333333332,False,100.0,16.25,6.744640516623609
10,1,2009,active,active,N/A,54.18453115667928,3.940868389335239,53.9,37.1,67.8,51.4,57.2,5023,54.072606012343215,54.29454857654788,False,93.1315946645431,6.868405335456898,0.0,8.206497233244612,1.1406585956297997,,,,,,,,,,,52.243181818181824,2.077737078985237,53.2,47.8,55.0,396.0,13.2,False,0.0,0.0,7.29182739586523,64.38472222222222,5.418559823042125,65.0,49.0,81.0,61.0,68.0,5040,64.23431547619047,64.53195932539683,False,24.424603174603174,75.57539682539682,13.333333333333334,8.345258519841286,1.4043404667891792,,,,,,,,,,,59.19444444444444,3.9381380223376774,59.0,49.0,68.0,396.0,13.2,False,32.57575757575758,0.0,7.016217160763784
11,1,2009,active,active,N/A,62.46493399339934,5.610823171112678,64.0,47.0,73.0,60.0,67.0,4848,62.30629125412541,62.63247215346534,False,28.094059405940598,71.9059405940594,2.2483498349834985,8.154413334885875,1.4930858477638493,62.705555555555556,6.494909011261509,65.0,50.0,73.0,1080.0,36.0,False,29.629629629629626,8.540984530375527,62.09283461018477,6.30974156562877,63.0,47.0,73.0,2219.0,73.96666666666667,False,74.3578188373141,1.8026137899954935,7.714370435369445,68.72469135802469,6.31409529141354,71.0,52.0,88.0,63.0,74.0,4860,68.53414094650206,68.91133744855968,False,12.818930041152262,87.18106995884773,51.27572016460905,8.132787399518861,1.3580929540545486,68.47914735866543,6.916496427706768,71.0,54.0,79.0,1079.0,35.96666666666667,False,20.945319740500462,8.235361073669834,69.42721946822893,6.453097617865265,71.0,52.0,88.0,2219.0,73.96666666666667,False,90.67147363677333,56.6020730058585,7.938189969201063
12,1,2009,control,control,none,65.03613495707727,5.237613937180353,66.0,49.0,78.0,62.0,69.0,5009,64.88580055899381,65.17476542223997,False,20.523058494709524,79.47694150529048,10.960271511279696,9.107386165805442,0.9207020737220738,67.07461139896373,4.2148897953334705,67.0,55.0,78.0,1930.0,64.33333333333333,False,7.927461139896373,9.034862337593758,63.76675341574496,5.409665879977574,65.0,49.0,72.0,3074.0,102.46666666666667,False,71.69811320754717,5.367599219258295,9.152154541107262,82.07390438247012,3.5645802853771293,82.0,72.0,94.0,79.0,85.0,5020,81.97200199203188,82.17182768924303,False,0.0,100.0,100.0,10.276637406474105,0.7852399243677333,81.70829015544041,3.8518957352944474,82.0,75.0,94.0,1930.0,64.33333333333333,False,0.0,10.070679409216083,82.31587508132726,3.356237438208258,83.0,72.0,90.0,3074.0,102.46666666666667,False,100.0,100.0,10.406289662463633
13,1,2009,active,active,N/A,60.99046673286991,7.070808540289029,62.0,26.0,76.0,57.0,67.0,5035,60.77014399205561,61.189945382323735,False,40.834160873882816,59.04667328699106,2.701092353525323,6.4839397211088885,0.8139753575437226,58.884014869888475,9.410207948325642,62.0,26.0,76.0,1345.0,44.833333333333336,False,45.204460966542754,6.720297703059893,63.46860986547085,4.641344940644392,63.0,48.0,73.0,2230.0,74.33333333333333,False,71.21076233183857,1.4349775784753362,6.500356758720174,50.365563701208636,6.467586411754673,51.0,35.0,71.0,45.0,55.0,5047,50.19018723994452,50.53826530612245,False,94.86823855755895,5.131761442441054,0.09906875371507827,5.684487017905016,0.841425836500697,50.46914498141264,6.601822074241845,52.0,36.0,62.0,1345.0,44.833333333333336,False,98.51301115241635,5.926557696649637,49.180717488789234,4.909415919553061,50.0,35.0,59.0,2230.0,74.33333333333333,False,0.0,0.0,5.606174221347835
14,1,2009,active,active,N/A,69.94554874180588,3.9984987876959797,70.0,55.0,80.0,68.0,73.0,4729,69.83048477479383,70.0551015013745,False,2.7701416790019033,97.22985832099809,48.65722139987312,7.831291174055043,0.8281043693676121,68.7059829059829,4.963394348091608,70.0,55.0,78.0,1755.0,58.5,False,7.464387464387465,8.153089486744483,70.67703429724277,3.073986283728921,71.0,61.0,80.0,2974.0,99.13333333333334,False,100.0,53.26160053799597,7.641393380252095,80.81917142253224,4.037589005740453,82.0,68.0,95.0,78.0,84.0,4731,80.70365144789686,80.92878091312619,False,0.0,100.0,98.68949482139082,8.557967273195192,0.7231623930158574,80.46096866096866,4.762074394518222,82.0,68.0,89.0,1755.0,58.5,False,0.0,8.852959494370019,81.03345662407531,3.524620103953938,82.0,71.0,95.0,2974.0,99.13333333333334,False,100.0,100.0,8.384859809286318
15,1,2009,active,active,N/A,60.95836846543002,5.171567685726066,60.8,49.7,77.6,57.1,64.7,4744,60.81251633642496,61.103618781618906,False,45.784148397976395,54.21585160202361,2.930016863406408,7.503154200809392,0.9440260265047503,63.24057796508128,5.220160469602993,63.6,49.8,77.6,1661.0,55.36666666666667,False,30.222757375075254,7.605924258748128,59.6932137030995,4.698323365083879,59.4,49.7,71.6,3065.0,102.16666666666667,False,45.51386623164764,0.22838499184339314,7.4451808771319286,68.92463768115942,5.029269642860364,69.0,50.0,80.0,65.0,73.0,4830,68.78798654244306,69.06751035196687,False,5.77639751552795,94.22360248447205,42.19461697722567,7.932867295232118,0.8430631624661602,68.79606025492468,5.727442872758756,70.0,50.0,77.0,1726.0,57.53333333333333,False,10.660486674391658,8.151505016824467,68.94918566775245,4.597308666417114,69.0,59.0,80.0,3070.0,102.33333333333333,False,96.90553745928338,37.62214983713355,7.805827110507076
