house_num,house_group,year,week,location,hourly_range,coldest_hour,warmest_hour,day_mean,night_mean,day_night_diff,night_pct_below_12,day_pct_in_who
12,control,2008,1,bedroom,4.519021164021163,6.0,15.0,17.724512256128065,16.769971544715446,0.9545407114126192,0.0,53.77688844422212
13,active,2008,1,bedroom,4.254190476190475,7.0,17.0,16.07379980563654,15.910220216606497,0.16357958903004288,1.48014440433213,24.635568513119534
14,active,2008,1,bedroom,2.4116666666666635,6.0,14.0,16.304484536082477,15.76268115942029,0.5418033766621875,0.0,8.762886597938143
15,active,2008,1,bedroom,5.514268913857677,7.0,15.0,19.577562975981255,19.264054968287525,0.31350800769373066,0.0,68.42413591095489
16,control,2008,1,bedroom,4.109158730158729,6.0,14.0,17.894752941176474,16.419314711359405,1.475438229817069,0.0,52.51764705882353
17,control,2008,1,bedroom,6.528952380952379,6.0,20.0,21.295363931386184,19.94780223880597,1.3475616925802143,0.0,93.69494668521095
18,active,2008,1,bedroom,5.11752380952381,7.0,17.0,17.23047807017544,17.247307116104867,-0.01682904592942691,0.0,34.29824561403509
19,active,2008,1,bedroom,4.139650793650796,7.0,15.0,16.019481550677252,15.913011278195489,0.10647027248176322,0.0,12.143858010275572
20,active,2008,1,bedroom,6.532777777777778,6.0,16.0,19.79595427963849,17.8307352297593,1.9652190498791917,0.0,77.67145135566189
21,control,2008,1,bedroom,3.48652380952381,6.0,18.0,18.915653333333335,19.547072508724312,-0.6314191753909775,0.0,70.93333333333334
22,active,2008,1,bedroom,3.49045238095238,6.0,20.0,16.400782182438192,16.44497464898596,-0.04419246654776643,0.0,14.492753623188406
23,control,2008,1,bedroom,7.29326984126984,7.0,15.0,17.7045320855615,15.963677979479087,1.7408541060824128,3.0019493177387915,52.71836007130125
24,active,2008,1,bedroom,2.9239444444444445,6.0,16.0,18.591212331942515,18.689197311190192,-0.09798497924767702,0.0,63.745943439962915
25,control,2008,1,bedroom,5.165256042115338,7.0,14.0,18.024923363711682,16.475043581616482,1.5498797820952,0.0,64.87158243579123
26,active,2008,1,bedroom,4.985333333333335,6.0,17.0,17.566185286103543,17.04472222222222,0.521463063881324,0.0,43.596730245231605
27,active,2008,1,bedroom,6.342740688354551,7.0,17.0,17.926462063086102,17.308036960985625,0.6184251021004776,0.0,48.80647911338448
28,control,2008,1,bedroom,3.3283333333333367,7.0,15.0,19.39633194391815,18.884744329896908,0.5115876140212414,0.0,80.44713906782872
29,active,2008,1,bedroom,6.422670250896054,8.0,16.0,20.875861994840932,21.180983673469388,-0.3051216786284563,0.0,63.67153912295787
30,control,2008,1,bedroom,4.520039682539679,7.0,17.0,18.81647183396866,18.870280082987552,-0.053808249018892695,0.0,66.2007623888183
1,active,2008,2,living,6.293428571428571,7.0,21.0,16.572475143903716,17.97332998324958,-1.4008548393458646,1.6415410385259632,22.71062271062271
2,active,2008,2,living,6.676192035966604,6.0,15.0,18.741938902743144,17.147723735408558,1.5942151673345855,2.4124513618677046,63.279301745635905
3,active,2008,2,living,1.6714102564102546,12.0,13.0,,,,,
4,active,2008,2,living,6.379904761904761,5.0,15.0,17.535912596401026,15.996274247491636,1.5396383489093903,6.254180602006689,47.50762970498474
5,control,2008,2,living,4.563333333333334,7.0,21.0,16.486933461909356,15.96451939291737,0.522414068991985,3.912310286677909,26.18129218900675
6,active,2008,2,living,2.497777777777779,10.0,13.0,,,,,
7,control,2008,2,living,2.9917142857142878,7.0,16.0,16.49526836158192,16.357282495667242,0.1379858659146791,0.0,13.74764595103578
8,active,2008,2,living,6.499333333333334,2.0,20.0,16.44083333333333,17.524135338345864,-1.0833020050125342,0.0,0.0
9,active,2008,2,living,6.435666666666666,6.0,13.0,20.168039585296892,18.17721951219512,1.990820073101773,0.0,82.3751178133836
10,active,2008,2,living,0.5742914979757145,15.0,17.0,,,,,
11,active,2008,2,living,7.070428571428572,6.0,16.0,19.7208570029383,18.159172185430464,1.5616848175078353,0.0,70.47012732615083
12,control,2008,2,living,6.471285714285711,6.0,15.0,19.96141176470588,18.124221763085398,1.8371900016204812,0.42650918635170604,73.38983050847457
13,active,2008,2,living,6.8619999999999965,7.0,16.0,17.131443116423196,15.593224043715848,1.5382190727073475,5.865209471766849,37.43362831858407
14,active,2008,2,living,5.796619047619046,6.0,15.0,18.431350496838302,16.409708561020036,2.0216419358182662,0.0,62.737127371273715
15,active,2008,2,living,6.751190476190477,5.0,16.0,17.77070089649552,16.509417122040073,1.2612837744554461,5.032051282051282,46.28722201281568
16,control,2008,2,living,6.654142857142858,6.0,14.0,18.467751905165116,16.31173156899811,2.156020336167007,0.0,66.00338696020322
17,control,2008,2,living,3.912761904761904,6.0,15.0,19.7278763666947,18.754962121212124,0.9729142454825777,0.0,86.37510513036165
18,active,2008,2,living,6.926833333333331,6.0,14.0,20.652029934518243,18.898,1.7540299345182433,0.0,70.01870907390084
19,active,2008,2,living,6.169714285714287,6.0,16.0,18.749811557788945,16.80238783269962,1.947423725089326,0.494296577946768,67.92294807370183
20,active,2008,2,living,6.170148809523809,6.0,16.0,19.814412811387896,18.085430711610485,1.7289820997774115,0.0,76.85325264750378
21,control,2008,2,living,2.4512380952380965,6.0,20.0,20.144193680755023,20.06842661448141,0.07576706627361318,0.0,93.76282314320886
22,active,2008,2,living,4.097904761904763,6.0,19.0,17.068053633217993,16.89486213592233,0.17319149729566163,0.0,32.52595155709342
23,control,2008,2,living,3.5380000000000003,6.0,16.0,19.911336330200246,19.05928793774319,0.852048392457057,0.0,86.80016346546792
24,active,2008,2,living,2.9555714285714316,6.0,20.0,20.379619631901843,20.126820673453405,0.25279895844843736,0.0,94.02862985685073
25,control,2008,2,living,4.700189701897017,6.0,16.0,18.281776765375856,17.087880163413526,1.1938966019623294,1.3163867453472538,59.68109339407744
26,active,2008,2,living,1.4482579185520343,9.0,10.0,,,,,
27,active,2008,2,living,8.934619047619048,7.0,17.0,19.731914817466,17.963347193347197,1.768567624118802,0.0,60.73407202216067
28,control,2008,2,living,4.420484126984128,6.0,16.0,19.11547355958958,19.179421868454128,-0.06394830886454628,0.0,73.67797947908446
29,active,2008,2,living,7.901809523809526,6.0,18.0,20.971042771297277,19.950523206751054,1.0205195645462233,0.0,63.50210970464135
30,control,2008,2,living,5.42611111111111,6.0,15.0,17.672222222222224,17.134054054054054,0.5381681681681698,0.0,52.13365539452496
