house_num,week,year,date,hours_above_18,max_temp,mean_temp,min_temp,ext_mean_temp,ext_max_temp,max_solar,total_solar
28,1,2009,2009-08-26,0.9,20.0,15.985750000000001,14.4,14.375,16.2,0.04,0.011666666666666665
28,1,2009,2009-08-27,5.6,20.9,15.510694444444443,12.6,15.605555555555556,17.2,0.39,2.431666666666666
28,1,2009,2009-08-28,8.833333333333334,27.7,17.580000000000002,10.4,15.54513888888889,18.6,0.4,2.5966666666666667
28,1,2009,2009-08-29,7.7,28.2,16.02041666666667,9.8,15.16875,18.7,0.36,1.3416666666666666
28,1,2009,2009-08-30,8.9,24.3,17.5,14.8,16.425694444444446,20.4,0.4,1.4
28,1,2009,2009-08-31,5.066666666666666,21.2,14.638263888888888,9.0,14.638194444444444,16.3,0.44,2.2783333333333333
28,1,2009,2009-09-01,7.8,23.8,13.813958333333332,4.6,13.250694444444445,17.3,0.44,2.295
28,1,2009,2009-09-02,1.4,21.5,12.614016172506737,7.7,13.224528301886792,16.3,0.42,1.044
29,1,2009,2009-08-27,0.4666666666666667,20.9,15.044358974358973,13.3,14.994871794871795,15.5,0.03,0.008333333333333333
29,1,2009,2009-08-28,9.2,37.0,19.51027777777778,9.6,15.54513888888889,18.6,0.4,2.5966666666666667
29,1,2009,2009-08-29,8.833333333333334,35.2,17.652291666666667,9.9,15.16875,18.7,0.36,1.3416666666666666
29,1,2009,2009-08-30,9.833333333333334,30.2,19.150416666666665,15.0,16.425694444444446,20.4,0.4,1.4
29,1,2009,2009-08-31,7.8,30.0,16.537708333333335,8.0,14.638194444444444,16.3,0.44,2.2783333333333333
29,1,2009,2009-09-01,8.8,33.0,15.872847222222221,5.0,13.250694444444445,17.3,0.44,2.295
29,1,2009,2009-09-02,8.366666666666667,30.4,15.518055555555556,7.0,13.491666666666667,16.3,0.42,1.9683333333333333
29,1,2009,2009-09-03,7.966666666666667,27.6,15.470167286245351,5.8,13.107063197026022,15.1,0.45,2.4843333333333337
30,1,2009,2009-08-28,0.3333333333333333,20.2,10.862749999999998,7.6,14.0125,15.9,0.06,0.021666666666666667
30,1,2009,2009-08-29,7.7,34.2,15.663055555555555,8.1,15.16875,18.7,0.36,1.3416666666666666
30,1,2009,2009-08-30,7.633333333333334,26.3,17.067708333333332,13.5,16.425694444444446,20.4,0.4,1.4
30,1,2009,2009-08-31,6.366666666666666,27.6,14.431875000000002,5.5,14.638194444444444,16.3,0.44,2.2783333333333333
30,1,2009,2009-09-01,7.766666666666667,29.2,13.609375,3.1,13.250694444444445,17.3,0.44,2.295
30,1,2009,2009-09-02,7.333333333333333,35.8,14.960694444444446,5.1,13.491666666666667,16.3,0.42,1.9683333333333333
30,1,2009,2009-09-03,7.566666666666666,29.6,13.81576388888889,5.1,12.759027777777778,15.1,0.45,2.486666666666667
