house_num,week,year,house_group,recording_status,overall_mean,overall_std,overall_median,overall_is_normal,daytime_mean,daytime_std,daytime_median,daytime_is_normal,daytime_hours,nighttime_mean,nighttime_std,nighttime_median,nighttime_is_normal,nighttime_hours
12,2,2008,control,control,11.552644230769232,2.757582554980173,12.4,False,13.086440677966102,2.010165570729025,13.4,False,78.66666666666667,10.36505905511811,2.6707110173432973,10.9,False,101.6
13,2,2008,active,active,11.53096903096903,2.805196011032333,12.3,False,12.996681415929203,2.033748581749209,13.2,False,75.33333333333333,10.324225865209472,2.778315592070354,11.1,False,91.5
14,2,2008,active,active,11.58364589635007,2.563984098602219,12.2,False,12.873441734417344,1.783680903691123,13.2,False,73.8,10.54335154826958,2.624414495701151,11.2,False,91.5
15,2,2008,active,active,11.553005369825048,2.502181319915239,12.2,False,12.870147003392386,1.742146311807752,13.1,False,88.43333333333334,10.43301282051282,2.505057384059488,10.8,False,104.0
16,2,2008,control,control,11.886818454164171,2.6230572788654687,12.1,False,13.634970364098221,2.098737185901867,14.0,False,78.73333333333333,10.32570888468809,1.981338026850015,10.4,False,88.16666666666667
17,2,2008,control,control,12.299461937026702,2.428588964527893,12.7,False,13.803490328006728,2.004828104857974,14.1,False,79.26666666666667,10.94469696969697,1.9282139410583468,11.0,False,88.0
18,2,2008,active,active,12.6128548716784,2.599282238249753,12.9,False,14.219083255378859,2.1102066514736206,14.6,False,71.26666666666667,11.096688741721854,2.0487030678962843,11.5,False,75.5
19,2,2008,active,active,12.689756875249103,2.7787274410467164,13.2,False,14.3570770519263,2.1028488663630407,14.7,False,79.6,11.175855513307985,2.429407824031214,12.1,False,87.66666666666667
20,2,2008,active,active,12.341443518354318,3.0061461414804294,13.0,False,14.18358547655068,2.1843809407860335,14.6,False,88.13333333333334,10.715191986644408,2.676361724249411,11.7,False,99.83333333333333
21,2,2008,control,control,13.31913060897436,1.7712017065376902,13.8,False,13.867090685268776,1.512930131670435,14.0,False,81.23333333333333,12.796477495107633,1.8405474290198023,13.4,False,85.16666666666667
22,2,2008,active,active,13.75948434622468,1.6666786812568202,14.0,False,14.43581314878893,1.6309817734541978,14.4,False,77.06666666666666,13.152233009708738,1.45080218683059,13.4,False,85.83333333333333
